ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
SCCO,SOUTHERN COPPER CORPORATION,1000,ok,0.75,27.2,positive,0,Capex Discipline,35.2,
BBVA,,,error: Could not establish at least 2 quarter-end dates for BBVA; the filer may use cus,,,,,,,
DHR,Danaher Corporation,3823,ok,0.926,34.7,mixed,5,Working Capital Stress,52.8,net_debt_to_ebitda;intangibles_to_assets;asset_quality_proxy;incremental_revenue_per_capex;buyback_offset_ratio
CB,Chubb Limited,6331,excluded_financial,0.444,,,,,,
PFE,Pfizer Inc.,2834,ok,0.838,41.5,mixed,3,Working Capital Stress,68.9,dio_trend;asset_quality_proxy;fcf_margin_trend
ATEYY,,,error: Could not establish at least 2 quarter-end dates for ATEYY; the filer may use cu,,,,,,,
DTEGY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0000946770.,,,,,,,
CRM,"Salesforce, Inc.",7372,ok,0.875,28.1,positive,5,Balance Sheet Stress,76.8,net_debt_to_ebitda;leverage_change;asset_quality_proxy;intangibles_to_assets;current_ratio
CVS,CVS HEALTH Corp,5912,ok,0.907,30.1,positive,2,Balance Sheet Stress,58.2,net_debt_to_ebitda;asset_quality_proxy
HDB,HDFC BANK LIMITED,6029,excluded_financial,0.218,,,,,,
PGR,PROGRESSIVE CORP/OH/,6331,excluded_financial,0.403,,,,,,
UL,,,error: Could not establish at least 2 quarter-end dates for UL; the filer may use custo,,,,,,,
BTI,,,error: Could not establish at least 2 quarter-end dates for BTI; the filer may use cust,,,,,,,
PLD,"Prologis, Inc.",6798,excluded_financial,0.491,,,,,,
VRTX,VERTEX PHARMACEUTICALS INC / MA,2834,ok,0.875,28.7,positive,1,Working Capital Stress,63.8,dio_trend
COF,CAPITAL ONE FINANCIAL CORP,6021,excluded_financial,0.583,,,,,,
COP,CONOCOPHILLIPS,2911,ok,0.639,21.6,positive,0,Balance Sheet Stress,28.7,
LOW,"LOWE’S COMPANIES, INC.",5211,ok,0.907,25.6,positive,2,Balance Sheet Stress,52.6,net_debt_to_ebitda;debt_to_assets
BMO,,,error: Could not establish at least 2 quarter-end dates for BMO; the filer may use cust,,,,,,,
HTHIY,,,error: Could not establish at least 2 quarter-end dates for HTHIY; the filer may use cu,,,,,,,
SPGI,S&P Global Inc.,7320,ok,0.917,37.1,mixed,5,Balance Sheet Stress,58.4,net_debt_to_ebitda;asset_quality_proxy;fcf_margin_trend;intangibles_to_assets;current_ratio
PH,PARKER-HANNIFIN CORPORATION,3490,ok,0.917,29.6,positive,2,Balance Sheet Stress,48.6,intangibles_to_assets;asset_quality_proxy
LMT,LOCKHEED MARTIN CORPORATION,3760,ok,0.889,50.4,negative,7,Cash Conversion,84.1,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;inventory_growth_spread;buyback_offset_ratio
SYK,STRYKER CORP,3841,ok,0.88,41.6,mixed,3,Cash Conversion,59.3,net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex
VRT,Vertiv Holdings Co,3679,ok,0.949,30.3,positive,3,Working Capital Stress,74.5,capex_to_da;dio_trend;inventory_growth_spread
MO,"ALTRIA GROUP, INC.",2111,ok,0.806,42.0,mixed,5,Balance Sheet Stress,74.3,net_debt_to_ebitda;asset_quality_proxy;debt_to_assets;current_ratio;dio_trend
MFG,,,error: Could not establish at least 2 quarter-end dates for MFG; the filer may use cust,,,,,,,
SONY,,,error: Could not establish at least 2 quarter-end dates for SONY; the filer may use cus,,,,,,,
SBUX,Starbucks Corporation,5810,ok,0.907,44.3,mixed,3,Cash Conversion,69.7,net_debt_to_ebitda;fcf_to_net_income;fcf_margin_trend
PDD,PDD Holdings Inc.,7389,ok,0.343,,mixed,0,Balance Sheet Stress,18.0,
FTNT,"FORTINET, INC.",3577,ok,0.977,20.6,positive,0,Capex Discipline,37.5,
IFNNY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0001107457.,,,,,,,
ENB,,,error: Could not establish at least 2 quarter-end dates for ENB; the filer may use cust,,,,,,,
BMY,Bristol-Myers Squibb Company,2834,ok,0.819,45.1,negative,4,Cash Conversion,73.5,fcf_margin_trend;cfo_to_net_income;fcf_to_net_income;incremental_revenue_per_capex
NOW,"ServiceNow, Inc.",7372,ok,0.843,27.6,positive,0,Balance Sheet Stress,55.9,
BNS,,,error: Could not establish at least 2 quarter-end dates for BNS; the filer may use cust,,,,,,,
SO,SOUTHERN CO,4911,ok,0.662,53.2,negative,7,Cash Conversion,70.5,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;fcf_margin;current_ratio;capex_intensity_regime_shift
TT,TRANE TECHNOLOGIES PLC,3822,ok,0.875,33.9,mixed,0,Revenue Quality,59.1,
HWM,HOWMET AEROSPACE INC.,3350,ok,0.819,38.2,mixed,1,Revenue Quality,46.3,leverage_change
CM,,,error: Could not establish at least 2 quarter-end dates for CM; the filer may use custo,,,,,,,
CDNS,"CADENCE DESIGN SYSTEMS, INC.",7372,ok,0.917,35.3,mixed,4,Balance Sheet Stress,43.6,fcf_margin_trend;dso_trend;asset_quality_proxy;intangibles_to_assets
IBN,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0001103838.,,,,,,,
PWR,"Quanta Services, Inc.",1731,ok,0.954,36.8,mixed,4,Balance Sheet Stress,52.8,net_debt_to_ebitda;working_capital_swing_to_income;buyback_offset_ratio;dso_trend
SNHIY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002098326.,,,,,,,
PBR,PETROBRAS - PETROLEO BRASILEIRO SA,1311,ok,0.699,35.8,mixed,4,Capex Discipline,52.4,fcf_to_net_income;net_debt_to_ebitda;capex_to_da;fcf_margin
GSK,,,error: Could not establish at least 2 quarter-end dates for GSK; the filer may use cust,,,,,,,
MDT,Medtronic plc,3845,ok,0.949,25.7,positive,3,Balance Sheet Stress,48.8,net_debt_to_ebitda;intangibles_to_assets;asset_quality_proxy
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",6021,excluded_financial,0.407,,,,,,
BNY,THE BANK OF NEW YORK MELLON CORPORATION,6022,excluded_financial,0.514,,,,,,
EQIX,EQUINIX INC,6798,excluded_financial,0.912,,,,,,
SNY,,,error: Could not establish at least 2 quarter-end dates for SNY; the filer may use cust,,,,,,,
NEM,NEWMONT CORPORATION,1040,ok,0.644,23.4,positive,0,Capex Discipline,29.0,
GD,GENERAL DYNAMICS CORP,3730,ok,0.843,24.5,positive,0,Balance Sheet Stress,39.2,
DUK,DUKE ENERGY CORPORATION,4931,ok,0.699,49.4,negative,6,Balance Sheet Stress,68.3,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;fcf_margin;current_ratio
HOOD,"Robinhood Markets, Inc.",6211,excluded_financial,0.583,,,,,,
SPOT,,,error: Could not establish at least 2 quarter-end dates for SPOT; the filer may use cus,,,,,,,
MAR,MARRIOTT INTERNATIONAL INC /MD/,7011,ok,0.773,30.2,positive,3,Balance Sheet Stress,64.9,current_ratio;asset_quality_proxy;debt_to_assets
USB,US BANCORP \DE\,6021,excluded_financial,0.398,,,,,,
BN,,,error: Could not establish at least 2 quarter-end dates for BN; the filer may use custo,,,,,,,
ASX,,,error: Could not establish at least 2 quarter-end dates for ASX; the filer may use cust,,,,,,,
MNST,Monster Beverage Corp,2086,ok,0.898,25.2,positive,0,Revenue Quality,40.4,
CMI,CUMMINS INC,3510,ok,0.843,41.0,mixed,2,Cash Conversion,66.0,cfo_to_net_income;fcf_to_net_income
DDOG,"Datadog, Inc.",7372,ok,0.806,26.5,positive,2,Capital Integrity,65.1,sbc_to_revenue;interest_coverage
ADP,AUTOMATIC DATA PROCESSING INC,7374,ok,0.806,21.3,positive,0,Balance Sheet Stress,29.7,
UPS,"United Parcel Service, Inc",4210,ok,0.815,29.3,positive,2,Capex Discipline,51.4,incremental_revenue_per_capex;buyback_offset_ratio
BP,,,error: Could not establish at least 2 quarter-end dates for BP; the filer may use custo,,,,,,,
BCS,,,error: Could not establish at least 2 quarter-end dates for BCS; the filer may use cust,,,,,,,
SNOW,SNOWFLAKE INC.,7372,ok,0.88,39.4,mixed,4,Capital Integrity,75.5,sbc_to_cfo;interest_coverage;sbc_to_revenue;fcf_margin_trend
ELV,"ELEVANCE HEALTH, INC.",6324,excluded_financial,0.843,,,,,,
ING,,,error: Could not establish at least 2 quarter-end dates for ING; the filer may use cust,,,,,,,
WM,"Waste Management, Inc",4953,ok,0.861,29.8,positive,2,Balance Sheet Stress,60.1,net_debt_to_ebitda;incremental_revenue_per_capex
MCK,McKESSON CORPORATION,5122,ok,0.88,25.5,positive,1,Revenue Quality,37.2,working_capital_swing_to_income
CSX,CSX CORPORATION,4011,ok,0.759,31.2,positive,2,Balance Sheet Stress,51.2,net_debt_to_ebitda;incremental_revenue_per_capex
ITUB,,,error: Could not establish at least 2 quarter-end dates for ITUB; the filer may use cus,,,,,,,
WMB,"WILLIAMS COMPANIES, INC.",4922,ok,0.824,38.1,mixed,4,Balance Sheet Stress,58.9,net_debt_to_ebitda;capex_intensity_regime_shift;incremental_revenue_per_capex;fcf_to_net_income
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,3585,ok,0.861,29.5,positive,1,Balance Sheet Stress,50.6,asset_quality_proxy
MELI,"MercadoLibre, Inc.",7389,ok,0.838,31.0,positive,2,Working Capital Stress,47.9,net_debt_to_ebitda;fcf_margin_trend
ABNB,"Airbnb, Inc.",7340,ok,0.681,20.9,positive,0,Capital Integrity,45.8,
NET,"CLOUDFLARE, INC.",7372,ok,0.833,32.3,mixed,1,Capital Integrity,66.5,interest_coverage
HCA,"HCA Healthcare, Inc.",8062,ok,0.694,36.8,mixed,3,Balance Sheet Stress,51.3,debt_to_assets;incremental_revenue_per_capex;fcf_margin_trend
FCX,Freeport-McMoRan Inc.,1000,ok,0.778,28.9,positive,1,Capex Discipline,41.3,incremental_revenue_per_capex
SNPS,SYNOPSYS INC,7372,ok,0.944,31.2,positive,5,Balance Sheet Stress,68.0,net_debt_to_ebitda;interest_coverage;asset_quality_proxy;intangibles_to_assets;working_capital_swing_to_income
KKR,KKR & Co. Inc.,6282,excluded_financial,0.361,,,,,,
LYG,,,error: Could not establish at least 2 quarter-end dates for LYG; the filer may use cust,,,,,,,
SHW,THE SHERWIN-WILLIAMS COMPANY,5200,ok,0.861,49.6,negative,4,Cash Conversion,82.4,fcf_to_net_income;cfo_to_net_income;fcf_margin_trend;deferred_revenue_growth_spread
SPG,"SIMON PROPERTY GROUP, INC.",6798,excluded_financial,0.458,,,,,,
